,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,deposit,tenencia_ahorros,tenencia_corriente,tenencia_cdt,tenencia_tdc,tenencia_lb,tenencia_vehiculo,ingresos,egresos,saldo_captacion,saldo_tdc,monto_trx_tdc,cantidad_trx_tdc,saldo_lb,saldo_veh,monto_trx_debito,cantidad_trx_debito
506,31,admin.,single,secondary,0,,0,0,cellular,447.0445937,1,-1,0,unknown,1,1,0,,,1,,1581.407143,1291.754656,7296.720224,9120.908783,2402.654073,35.20141084,49412.7347,25472.61941,4246.724353,27.54115612
638,43,admin.,married,secondary,0,414.9512995,0,0,cellular,814.5464804,8,-1,0,unknown,1,1,0,0,1,1,1,1380.982897,1222.838913,13236.5633,,1627.420904,35.97518967,10286.98451,26895.09246,2130.086634,14.27176902
903,58,admin.,unknown,secondary,0,,0,0,telephone,242.0982872,1,-1,0,unknown,1,1,0,0,1,1,1,2990.399111,3336.067451,9885.597725,8287.280641,306.2004458,13.38782947,31848.83195,47591.18594,1599.20299,10.09281971
1244,54,admin.,unknown,secondary,0,1975.764746,0,0,cellular,480.2343313,5,-1,0,unknown,1,1,0,1,1,1,1,2299.127351,2371.781388,14308.00609,,1905.424231,20.88177612,21323.59541,-18206.38,6584.316418,3.997894072
1718,31,admin.,married,unknown,0,,0,0,cellular,640.4131605,1,-1,0,unknown,1,1,1,0,1,1,1,2097.282785,,,6014.052509,2986.664225,9.849057218,11283.98819,63753.3495,206.7591508,10.52132501
2265,55,admin.,unknown,secondary,0,1766.316047,0,0,cellular,135.3576398,2,-1,0,unknown,1,1,0,0,1,1,1,,,7446.087659,2334.436157,1072.630361,10.9150506,25098.83173,39468.39509,6621.069828,-1.484699002
2639,59,admin.,unknown,secondary,0,4806.885784,0,0,cellular,910.1347557,1,-1,0,unknown,1,1,0,1,1,1,1,,,8227.326432,15461.91051,,25.94758061,49633.98501,38106.47288,3859.05228,26.2597491
3457,54,admin.,married,unknown,0,207.5773129,0,0,telephone,513.7214207,2,182,2,failure,1,,0,0,1,1,1,799.6931663,306.5747769,5441.38117,8591.200836,2635.042301,19.70932538,17747.33361,37676.44601,4171.820862,19.27209156
4082,47,admin.,married,secondary,0,,0,0,cellular,625.8831048,1,91,4,failure,1,1,0,0,1,1,1,1835.896293,1682.938974,9788.338605,11293.63409,1587.310677,13.62291056,34365.06814,72268.65772,1610.612809,5.272427531
4095,29,admin.,single,unknown,0,,0,0,cellular,247.5402678,2,91,3,success,1,1,0,0,1,1,1,1785.097411,,13827.62534,10018.94394,2508.973319,10.43654232,41773.56971,32083.44573,1800.390938,34.14126224
4236,22,admin.,single,secondary,0,124.6633819,0,0,cellular,382.9501263,1,-1,0,unknown,1,1,0,0,1,1,1,48.62825369,-695.1738471,10731.87401,,2009.265887,14.5215107,16024.77657,42694.96826,5777.558793,33.73936889
4319,53,admin.,married,unknown,0,,0,0,telephone,511.0493974,1,193,1,failure,1,1,1,0,1,1,1,898.799115,482.7053964,8900.289703,5524.073065,-139.3277421,20.45059759,38362.98962,2958.365681,1677.311514,26.78672894
5416,31,admin.,unknown,secondary,0,,0,0,unknown,69.29526225,1,-1,0,unknown,0,1,,0,1,1,1,1075.765561,674.671715,,11850.76714,,8.640573709,31264.46086,64375.38781,2786.412026,28.27150263
5660,50,admin.,married,secondary,0,-1423.277675,0,0,cellular,408.2244439,2,-1,0,unknown,0,1,0,0,1,1,1,-135.6368315,-988.8826746,15201.63633,11781.86378,1315.230968,28.50994334,17884.1645,44390.14779,-885.178363,19.96275344
5725,32,admin.,married,unknown,0,323.5750823,0,0,cellular,99.48589507,3,368,1,failure,0,1,0,0,1,1,1,1846.628565,1828.067086,8064.214598,19016.35862,,,17584.74064,5586.944641,-1228.327844,16.6983157
8616,38,admin.,married,primary,0,,0,0,unknown,355.3969839,2,-1,0,unknown,0,1,0,0,1,1,1,889.1407247,445.5046165,13702.04168,3016.091756,277.2011598,,20086.37286,119096.9415,6669.435253,31.68450557
9116,43,admin.,married,secondary,0,71.44368792,0,0,unknown,840.7746921,12,-1,0,unknown,0,1,0,0,1,1,1,1440.005796,1124.114588,7606.798259,15390.513,3564.537555,10.06129688,23287.90091,62421.00338,,31.41138739
9137,49,admin.,married,secondary,0,1122.581122,0,0,cellular,164.6364057,4,-1,0,unknown,0,1,0,0,1,1,1,2287.558259,2336.588898,5927.474076,13843.71934,927.8955903,4.438782136,38413.77088,10.93158583,4705.408123,9.679089995
9189,46,admin.,divorced,unknown,0,2090.836203,0,0,cellular,133.7426347,1,119,4,other,0,1,0,0,1,1,1,2160.916048,,2765.622467,10755.65292,1487.975597,24.02136114,39710.62674,72645.24662,-77.58649149,1.884681556
9859,45,admin.,unknown,secondary,0,101.0093902,0,0,cellular,366.3935055,2,-1,0,unknown,0,1,0,0,,1,1,2356.147406,2442.343572,9623.966837,,1888.623149,7.249980932,43651.11958,38219.95285,1933.959348,34.81990374
1060,40,admin.,married,primary,0,57.72599813,1,1,cellular,896.9882402,1,-1,0,unknown,1,1,0,0,0,1,1,4767.403763,3736.728941,,,,,18068.41598,49029.14529,-1284.933458,10.20173639
541,25,admin.,married,unknown,0,326.59491,1,0,cellular,1088.469078,8,-1,0,unknown,1,1,0,1,0,1,1,1858.287519,,,,,,28540.71232,-2359.153692,-1827.006002,
901,49,admin.,married,secondary,0,10246.67301,1,0,telephone,122.3983859,1,-1,0,unknown,1,1,0,0,0,1,1,,3419.840545,9868.761936,,,,28287.64398,12418.65907,-555.1327516,10.76089122
1841,31,admin.,single,secondary,0,98.40084124,1,0,cellular,953.2240838,2,295,2,failure,1,1,0,0,0,1,1,5760.081489,5560.066742,10877.18682,,,,39251.70845,17707.2215,6226.722749,-1.518366926
2712,37,admin.,unknown,tertiary,0,1111.638723,1,0,cellular,251.3984509,1,99,2,success,1,1,,1,0,1,1,2532.835071,2370.308446,9396.280454,,,,22312.76062,55990.51914,7109.248205,18.15945055
3581,33,admin.,single,tertiary,0,307.625287,1,0,cellular,362.776448,1,237,2,failure,1,1,1,0,0,1,1,,1638.7396,10799.89026,,,,16435.67042,53772.4072,2041.685802,1.812318445
5869,51,admin.,divorced,secondary,0,415.2258467,1,0,unknown,218.4548563,1,-1,0,unknown,0,1,1,0,0,1,1,6829.661746,6659.907221,7287.659924,,,,28774.46597,75347.62837,4681.723116,-15.01298531
6123,41,admin.,unknown,secondary,0,2596.913383,1,0,cellular,932.9774914,2,347,2,failure,0,1,0,0,0,1,1,,1978.780542,17599.76267,,,,36542.72274,14151.4114,2794.225565,19.98679319
6607,36,admin.,single,secondary,0,533.4070113,1,0,unknown,183.4116295,3,-1,0,unknown,0,1,1,1,0,1,1,2336.425411,2119.436877,14752.15764,,,,21462.53166,78162.02203,5293.800753,19.18237
10109,34,admin.,married,tertiary,0,105.2318831,1,0,cellular,87.79015608,1,69,2,failure,0,1,1,1,,1,1,2146.739989,1972.267733,5093.265859,,,,28735.58599,59229.17718,4348.79221,18.47948846
10685,41,admin.,unknown,secondary,0,1989.950965,1,0,cellular,113.9411843,1,341,1,failure,0,1,0,0,0,1,1,2528.415583,2320.58759,12887.33919,,,,20568.0086,63965.93505,,25.14891816
1741,36,admin.,single,unknown,0,775.9201391,0,0,cellular,279.3044966,1,-1,0,unknown,1,1,0,0,0,1,1,2613.886168,2868.173685,13363.50667,,,,25464.21897,46947.66401,2861.342607,31.33530669
2240,54,admin.,unknown,secondary,0,,0,0,cellular,185.1878216,1,-1,0,unknown,1,,0,0,0,,1,1207.455453,867.0112759,5517.308411,,,,20773.40984,98779.75762,,26.5426537
4488,30,admin.,single,secondary,0,1374.462414,0,0,cellular,634.8013813,1,-1,0,unknown,1,1,0,0,0,1,1,,956.9468703,2254.163291,,,,53320.34212,82849.22316,,37.52180079
7589,43,admin.,unknown,secondary,0,552.8396586,0,0,unknown,415.4121737,1,-1,0,unknown,0,1,0,1,0,,1,,2490.082178,6243.153234,,,,35146.12228,17731.96484,,-4.582461567
1712,34,admin.,single,unknown,0,84.6822053,1,1,cellular,379.7456794,1,-1,0,unknown,1,1,0,1,1,0,1,282.3110237,,11373.31727,14789.77632,1927.504891,43.83590757,,30626.10314,4112.14702,26.50210015
6422,29,admin.,single,secondary,0,,1,1,unknown,238.8580884,1,-1,0,unknown,0,1,0,1,1,0,1,3918.133037,,13282.36711,8637.336344,2321.812366,,,46248.49614,1387.630365,0.068553251
6957,35,admin.,married,tertiary,0,355.2652163,1,1,cellular,190.0530081,1,-1,0,unknown,0,1,0,0,1,0,1,6138.722881,4609.08929,14051.03883,1301.179893,1685.240717,24.81790568,,94264.22193,2151.014419,2.065687634
6980,53,admin.,divorced,secondary,0,28.05407055,1,1,cellular,566.3373616,2,-1,0,unknown,0,1,0,0,1,0,1,7357.6718,5362.928272,13577.62084,,941.5784208,17.05941505,,58337.69873,1536.938037,11.79916795
7683,29,admin.,married,tertiary,0,150.186621,1,1,cellular,384.113398,2,237,2,failure,0,1,1,0,1,0,1,4122.343426,3413.318091,11942.32973,,1250.317578,25.30517614,,22236.49949,-1454.225264,32.92548857
9876,44,admin.,married,secondary,0,1339.589428,1,1,cellular,452.2502715,3,-1,0,unknown,0,1,1,0,1,0,1,2886.790305,,14668.75503,5691.006507,1883.957168,54.03906053,,67923.87495,5772.628528,29.96966113
10364,53,admin.,divorced,unknown,0,231.0356154,1,1,cellular,569.6458863,1,-1,0,unknown,0,1,0,1,1,0,1,950.8765847,1444.324049,8386.214712,3830.474593,1337.541987,17.58042475,,80325.67187,202.3743627,-3.171514883
11018,37,admin.,married,secondary,0,,1,1,cellular,182.7951629,2,351,1,failure,0,1,0,,1,0,1,,2071.030562,8864.030076,11344.63672,2369.452814,12.15594623,,72207.6135,,32.77003922
20,28,admin.,divorced,secondary,0,850.4051644,1,0,unknown,429.137084,2,-1,0,unknown,1,,0,0,1,0,1,4864.216642,4607.635597,5262.525061,6266.015942,1007.845886,39.66893627,,-15554.12877,4027.01096,26.94034084
1261,38,admin.,married,secondary,0,789.5095627,1,0,cellular,157.9916129,1,-1,0,unknown,1,1,0,0,1,0,1,5516.284873,5218.903404,8119.399704,8674.210933,596.3187193,11.32507717,,80479.27048,1967.304183,51.82687282
1937,31,admin.,married,secondary,0,,1,0,cellular,433.1805113,1,-1,0,unknown,1,1,0,0,1,0,1,8649.847026,8421.966861,12381.25558,-5663.78798,,26.87533493,,70130.44594,4771.651598,14.4591494
1990,34,admin.,married,unknown,0,196.3006963,1,0,telephone,624.3138983,4,366,2,other,1,1,0,0,1,0,1,6993.617957,6759.012986,12542.13139,,217.9692066,11.03421649,,25571.9209,4486.713087,31.18504887
2010,31,admin.,married,secondary,0,756.7642201,1,0,cellular,591.3303129,1,329,3,failure,1,1,0,0,1,0,1,1838.949014,1586.828915,11673.70492,15936.16391,2467.700925,-6.776458473,,80315.41451,4450.948009,19.30896372
2038,36,admin.,unknown,secondary,0,180.1996874,1,0,cellular,1380.690827,4,374,2,failure,1,0,1,0,1,0,1,3072.227018,,17361.99266,13110.73783,1230.298007,21.61588441,,55674.24657,1813.312492,10.00271662
2483,40,admin.,single,secondary,0,116.4866792,1,0,cellular,268.4942185,1,461,1,success,1,1,0,1,1,0,1,2077.147927,1912.759624,11502.05149,12887.75009,667.0929661,15.02300293,,66871.83978,765.7786151,
2510,29,admin.,unknown,unknown,0,75.73083167,1,0,cellular,196.9435992,2,-1,0,unknown,1,1,0,1,1,0,1,,,7027.760998,10538.01926,1411.514027,,,92272.77578,1982.055444,23.7915322
2672,32,admin.,unknown,unknown,0,647.7084329,1,0,cellular,375.1852256,1,-1,0,unknown,1,1,0,0,1,,1,3581.049999,3335.284251,17125.47188,12085.87356,1991.953386,8.791681679,,50870.28344,5847.228859,37.07717013
3385,47,admin.,married,secondary,0,,1,0,cellular,178.4637228,4,374,2,success,1,1,0,1,,0,1,,2307.808745,13302.90257,9589.205755,2173.238295,26.89774001,,76042.95633,2686.012655,18.7307688
3404,49,admin.,unknown,secondary,0,,1,0,cellular,254.5471404,1,182,2,failure,1,1,1,0,1,0,1,4727.947477,,,9855.906813,1141.357044,22.35044397,,59501.10863,,31.11403542
3458,30,admin.,single,secondary,0,881.2701078,1,0,unknown,409.2977963,1,-1,0,unknown,1,1,0,0,1,0,1,2352.059192,2169.976947,8249.494442,15877.37247,2218.599376,13.24426355,,43196.11362,-2581.992813,32.72929594
3911,33,admin.,single,tertiary,0,331.4997669,1,0,cellular,348.310925,2,92,3,success,1,1,0,1,1,0,,4123.818015,3888.445347,13055.04243,10893.05449,1918.918899,7.76656322,,65194.99739,3633.31779,2.403166714
4347,38,admin.,divorced,secondary,0,42.0395042,1,0,cellular,1193.453392,3,251,2,success,1,0,1,0,1,0,1,968.4195746,914.9474641,17342.3489,8050.154977,1109.921622,23.15796548,,18833.36151,1202.633613,12.32247832
4357,33,admin.,divorced,secondary,0,353.544626,1,0,cellular,790.9718372,1,-1,0,unknown,1,1,0,1,1,0,1,,,10089.88253,24963.79876,317.0243088,25.11875857,,124224.0931,3636.308399,14.33359494
4470,46,admin.,married,unknown,0,720.9364127,1,0,telephone,1167.923398,11,-1,0,unknown,1,1,0,0,1,0,1,,1551.27917,15387.8318,5767.208505,1519.401658,,,88594.94753,3795.76085,21.54190803
4501,35,admin.,unknown,secondary,0,1238.124155,1,0,cellular,195.8919823,1,-1,0,unknown,1,,0,0,1,0,1,5096.594684,,14470.37799,8350.231304,933.3866075,10.92934734,,46640.52222,608.2769794,14.44895745
5061,34,admin.,married,secondary,0,1452.049731,1,0,cellular,93.60468159,2,85,1,success,1,1,0,0,1,0,1,,2674.41304,9350.883836,6125.647309,1944.107791,13.19642398,,45374.01898,2736.648747,24.4906796
5241,35,admin.,married,secondary,0,2400.276001,1,0,cellular,787.2287031,2,183,5,success,1,1,0,1,1,0,1,,2580.717112,7754.85316,4995.737806,1094.514539,40.06078874,,62747.14289,1418.400092,18.54886742
5510,39,admin.,single,secondary,0,2754.445306,1,0,cellular,161.7423449,1,-1,0,unknown,0,1,0,1,1,0,1,1387.273763,1300.754443,13399.96006,4877.833837,,,,81788.87701,29.68709735,31.95304349
5647,30,admin.,divorced,primary,0,1076.200351,1,0,unknown,78.68600919,5,-1,0,unknown,0,1,0,0,1,0,1,1055.843145,856.2590944,9478.368988,7483.918921,880.1676727,21.30697193,,71160.75487,2613.356719,11.12403142
5731,53,admin.,married,primary,0,239.8861767,1,0,unknown,136.3001504,1,-1,0,unknown,0,1,0,1,1,0,1,4351.64784,4222.733155,12403.77754,,721.2926292,,,76197.00377,459.0784472,7.747707641
6006,54,admin.,married,primary,0,1039.079586,1,0,unknown,169.469508,3,-1,0,unknown,0,1,,1,1,0,1,3464.731139,3360.570837,13490.82284,2579.343642,1196.822042,33.89745433,,43032.52302,3871.972393,10.58862669
6219,34,admin.,married,secondary,0,807.2917533,1,0,cellular,305.2077259,9,-1,0,unknown,0,1,0,0,1,0,1,3199.445216,3044.925342,12202.03068,1793.222113,1925.039083,33.89954456,,81150.97682,-113.8831157,3.936283628
6241,24,admin.,single,tertiary,0,1186.819446,1,0,unknown,272.7928649,1,-1,0,unknown,0,1,,0,1,0,1,2258.783388,2034.34509,8810.549269,7144.458249,2287.180635,4.164185912,,54429.75139,2721.296389,
6516,51,admin.,married,unknown,0,1426.09609,1,0,unknown,454.9148173,8,-1,0,unknown,0,1,0,0,1,0,1,,2997.104636,15531.11845,7391.715313,523.236698,27.23000803,,76868.62523,6073.072656,2.3325733
6685,51,admin.,unknown,primary,0,706.6239994,1,0,unknown,380.7324788,1,-1,0,unknown,0,1,0,0,1,0,1,,2380.616093,15357.15303,188.2458439,319.8353537,21.89604721,,35354.70619,2908.266628,6.913886724
6964,27,admin.,single,secondary,0,356.918073,1,0,cellular,90.83085879,9,362,8,other,0,1,0,0,1,0,1,6740.573444,6616.124611,6945.270949,,1719.209948,11.95097626,,86184.13783,3994.538197,45.20647153
7355,43,admin.,married,secondary,0,412.2750953,1,0,cellular,152.4108644,2,-1,0,unknown,0,1,0,0,1,0,1,,1985.518807,,4779.767491,2125.76174,-6.39037169,,72179.95308,1285.006351,10.22732493
7485,51,admin.,divorced,secondary,0,314.538227,1,0,unknown,156.0887787,1,-1,0,unknown,0,1,0,1,1,0,1,1684.489554,1439.267694,9496.619468,8369.203831,631.812915,-7.323592407,,74784.09582,5435.881802,31.04373361
7554,35,admin.,single,secondary,0,233.4718508,1,0,unknown,127.9416557,1,-1,0,unknown,0,,0,0,1,0,1,2829.647093,2619.384334,10702.8008,12663.25277,705.0239891,26.29272413,,23732.77921,,37.79915789
7567,37,admin.,unknown,secondary,0,,1,0,unknown,51.08574206,1,-1,0,unknown,0,1,0,0,1,0,1,806.5456474,,4797.146348,9087.014537,1690.787871,-11.869323,,62080.9755,1807.827331,37.57046143
7629,33,admin.,married,secondary,0,60.85404922,1,0,cellular,120.6520778,1,-1,0,unknown,0,1,0,0,1,0,1,5954.629813,5784.409646,8263.733006,,2281.036492,10.98901356,,35072.39654,,18.62886761
7744,50,admin.,married,unknown,0,232.1127724,1,0,cellular,430.0190401,7,-1,0,unknown,0,1,1,1,1,0,1,,3485.556476,13957.83229,15722.7616,803.1284368,48.37554017,,-4349.764655,540.8514929,16.62277835
7982,46,admin.,married,secondary,0,3194.65048,1,0,telephone,230.4693315,9,-1,0,unknown,0,1,0,1,1,,1,3194.260568,3029.645328,9736.629259,19470.97707,1383.391842,29.52559312,,86116.19958,6110.031989,10.94739911
8022,46,admin.,married,secondary,0,204.1460972,1,0,cellular,659.8704944,2,-1,0,unknown,0,1,0,0,1,0,1,2941.925914,2746.001251,16152.51198,10094.50211,-202.2691518,10.72326062,,48597.27933,876.4064774,14.07856891
8088,33,admin.,divorced,secondary,0,694.1029019,1,0,cellular,112.8444758,4,167,3,failure,0,1,,0,1,0,1,2683.402187,2581.405616,15772.80894,2798.268689,1109.375553,,,56635.80068,1873.526792,25.37660928
9332,35,admin.,single,secondary,0,423.158714,1,0,unknown,249.5150529,3,-1,0,unknown,0,1,,0,1,0,1,,4599.43978,9420.169953,7494.064804,1196.856083,22.70301062,,73463.69117,3343.914264,27.66738046
9374,35,admin.,unknown,secondary,0,-449.0776771,1,0,unknown,134.9393142,4,-1,0,unknown,0,1,0,1,1,0,1,3106.705309,2859.717849,8978.144446,3900.37569,3830.190496,,,76425.31852,2261.488196,18.40749734
9552,52,admin.,married,secondary,0,1747.713739,1,0,cellular,197.6587025,3,-1,0,unknown,0,1,0,0,1,0,1,3642.723841,3357.010911,9302.944325,25366.31715,-405.0780045,15.9216009,,83850.10985,6314.249276,34.03838087
9782,52,admin.,unknown,secondary,0,-409.5774703,1,0,cellular,194.6729768,5,-1,0,unknown,0,1,0,0,1,0,1,2033.186084,1900.268281,10582.9974,10118.69394,514.3327981,,,60404.55562,3161.501977,34.86736499
9929,34,admin.,single,secondary,0,947.1645055,1,0,cellular,780.4696181,2,-1,0,unknown,0,1,0,0,1,0,1,4421.161997,4307.642367,11675.88109,5109.341756,1819.853083,36.30724982,,2650.387155,6410.967036,30.69501994
9995,30,admin.,married,secondary,0,,1,0,cellular,652.2681438,1,-1,0,unknown,0,1,0,0,1,0,1,6057.751624,,11342.55566,9787.147568,-207.2011828,26.55996947,,103643.2711,1001.146997,
10677,40,admin.,married,secondary,0,1701.107669,1,0,unknown,653.3092734,1,-1,0,unknown,0,1,0,0,1,0,,,5049.398182,10763.0122,-1354.570975,1703.206425,10.80104625,,65524.84777,6607.177963,21.88967821
10981,32,admin.,married,secondary,0,3631.392746,1,0,cellular,275.8947618,1,178,1,failure,0,1,0,0,1,0,1,5614.92561,5427.546325,9703.61556,17780.9116,2458.373337,19.02907014,,91671.60081,5759.516383,19.08869622
11086,42,admin.,unknown,secondary,0,6486.408453,1,0,unknown,23.95545588,8,-1,0,unknown,0,1,0,0,1,0,1,2543.49067,2283.908409,8446.114616,7573.934816,10.91423603,12.47210727,,60592.8112,2427.230169,3.774236729
406,29,admin.,divorced,tertiary,1,43.19719423,0,1,cellular,443.2465185,3,-1,0,unknown,1,0,1,,1,0,1,5696.758439,,11790.54994,6155.639576,573.9295356,13.86686561,,-10417.88948,2546.479616,12.43333649
3177,35,admin.,single,secondary,0,50.06957915,0,1,cellular,90.64675878,4,182,5,failure,1,1,1,0,1,0,1,3639.080743,,9836.042083,,1373.761929,,,56241.04019,5137.971943,
7718,43,admin.,married,secondary,0,2033.295651,0,1,cellular,96.24671197,3,-1,0,unknown,0,1,0,0,1,0,1,1625.049216,1305.978655,15042.75954,7447.873402,2291.888949,35.59609163,,25731.36978,,14.16416713
8202,42,admin.,married,unknown,0,-404.2299527,0,1,telephone,119.7715777,15,-1,0,unknown,0,1,0,0,1,0,1,,2804.050321,9210.398339,9729.030573,2183.513304,10.79768805,,32499.49318,,16.24375002
